chr	start	end	gene	score	strand	length	DESCRIPTION	is_TF	is_SM_gene	SM_cluster	hasPeak.An_kdmB_20h_HA_1	peakId.An_kdmB_20h_HA_1	peakDist.An_kdmB_20h_HA_1	summitDist.An_kdmB_20h_HA_1	peakType.An_kdmB_20h_HA_1	enrichment.An_kdmB_20h_HA_1	peakCoverage.An_kdmB_20h_HA_1	pval.An_kdmB_20h_HA_1	tesPeakType.An_kdmB_20h_HA_1	tesEnrichment.An_kdmB_20h_HA_1	tesPval.An_kdmB_20h_HA_1	hasPeak.An_sntB_20h_HA_1	peakId.An_sntB_20h_HA_1	peakDist.An_sntB_20h_HA_1	summitDist.An_sntB_20h_HA_1	peakType.An_sntB_20h_HA_1	enrichment.An_sntB_20h_HA_1	peakCoverage.An_sntB_20h_HA_1	pval.An_sntB_20h_HA_1	tesPeakType.An_sntB_20h_HA_1	tesEnrichment.An_sntB_20h_HA_1	tesPval.An_sntB_20h_HA_1	hasPeak.An_ecoA_20h_HA_1	peakId.An_ecoA_20h_HA_1	peakDist.An_ecoA_20h_HA_1	summitDist.An_ecoA_20h_HA_1	peakType.An_ecoA_20h_HA_1	enrichment.An_ecoA_20h_HA_1	peakCoverage.An_ecoA_20h_HA_1	pval.An_ecoA_20h_HA_1	tesPeakType.An_ecoA_20h_HA_1	tesEnrichment.An_ecoA_20h_HA_1	tesPval.An_ecoA_20h_HA_1	hasPeak.An_rpdA_20h_HA_1	peakId.An_rpdA_20h_HA_1	peakDist.An_rpdA_20h_HA_1	summitDist.An_rpdA_20h_HA_1	peakType.An_rpdA_20h_HA_1	enrichment.An_rpdA_20h_HA_1	peakCoverage.An_rpdA_20h_HA_1	pval.An_rpdA_20h_HA_1	tesPeakType.An_rpdA_20h_HA_1	tesEnrichment.An_rpdA_20h_HA_1	tesPval.An_rpdA_20h_HA_1	An_untagged_20h_polII_1	is_expressed.An_untagged_20h_polII_1	group
ChrIII_A_nidulans_FGSC_A4	1859	7010	AN5092	.	-	5151	Putative RecQ protein; telomere linked helicase	FALSE	FALSE	NA	TRUE	An_kdmB_20h_HA_1_withCtrl_peak_2	0	428	insideOverlapStart	4.39005	28.0681024855409	14.04833	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	4.74154998922348	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	7.38810595989227	NA	NA	NA	NA	TRUE	An_rpdA_20h_HA_1_withCtrl_peak_2	0	604	insideOverlapStart	2.17019	14.0472401919978	7.68312	NA	NA	NA	5.7582	FALSE	09
ChrIII_A_nidulans_FGSC_A4	14734	15349	AN5089	.	-	615	Ortholog of A. oryzae RIB40 : AO090103000089, Aspergillus flavus NRRL 3357 : AFL2T_12280, Aspergillus terreus NIH2624 : ATET_03032 and Aspergillus aculeatus ATCC16872 : Aacu16872_034601	FALSE	FALSE	NA	TRUE	An_kdmB_20h_HA_1_withCtrl_peak_6	-167	-363	upstream	3.12098	22.6606344862033	7.97085	NA	NA	NA	TRUE	An_sntB_20h_HA_1_withCtrl_peak_3	-205	-303	upstream	2.91107	17.7359824230796	15.23453	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	9.98912994003296	NA	NA	NA	NA	TRUE	An_rpdA_20h_HA_1_withCtrl_peak_6	-195	-363	upstream	2.47588	18.2442857042536	12.53069	NA	NA	NA	1.3691	FALSE	13
ChrIII_A_nidulans_FGSC_A4	42803	44554	AN5082	.	-	1751	Has domain(s) with predicted GTP binding, GTPase activity, structural constituent of cytoskeleton activity, role in microtubule-based process, protein polymerization and microtubule localization	FALSE	FALSE	NA	TRUE	An_kdmB_20h_HA_1_withCtrl_peak_7	-378	-623	upstream	2.46168	20.6473120660171	4.6642	NA	NA	NA	TRUE	An_sntB_20h_HA_1_withCtrl_peak_4	-64	-617	upstream	1.83846	14.0788135232225	5.36694	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	6.70647793579102	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	10.8332640018463	NA	NA	NA	NA	3.6387	FALSE	12
ChrIII_A_nidulans_FGSC_A4	47150	48303	AN5081	.	-	1153	Protein of unknown function	FALSE	FALSE	NA	TRUE	An_kdmB_20h_HA_1_withCtrl_peak_8	-477	-946	upstream	6.89613	31.5202517801402	36.69112	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	8.2576599817276	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	8.09968004274368	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	5.97888000106812	NA	NA	NA	NA	0.8469	FALSE	08
ChrIII_A_nidulans_FGSC_A4	49607	51566	AN10625	.	+	1959	Has domain(s) with predicted RNA-DNA hybrid ribonuclease activity, nucleic acid binding activity	FALSE	FALSE	NA	TRUE	An_kdmB_20h_HA_1_withCtrl_peak_8	-94	-358	upstream	6.89613	31.5202517801402	36.69112	NA	NA	NA	TRUE	An_sntB_20h_HA_1_withCtrl_peak_5	-176	-363	upstream	3.34245	25.755152160691	27.49654	NA	NA	NA	TRUE	An_ecoA_20h_HA_1_withCtrl_peak_2	-255	-366	upstream	3.48757	28.5748462210168	10.11972	NA	NA	NA	TRUE	An_rpdA_20h_HA_1_withCtrl_peak_7	-102	-334	upstream	3.70829	25.9005988058216	39.736	NA	NA	NA	5.4368	FALSE	15
ChrIII_A_nidulans_FGSC_A4	54587	55197	AN5079	.	+	610	Protein of unknown function	FALSE	FALSE	NA	TRUE	An_kdmB_20h_HA_1_withCtrl_peak_9	-20	-180	upstream	2.89236	19.2020967775776	6.27933	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	10.5671999845505	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	11.8743019638062	NA	NA	NA	NA	TRUE	An_rpdA_20h_HA_1_withCtrl_peak_8	0	-179	overlapStart	2.19169	15.4682342017569	8.20739	NA	NA	NA	15.509	TRUE	09
ChrIII_A_nidulans_FGSC_A4	57863	59084	AN12280	.	-	1221	Has domain(s) with predicted DNA binding, chromatin binding activity	FALSE	FALSE	NA	TRUE	An_kdmB_20h_HA_1_withCtrl_peak_10	-1056	-1164	upstream	3.40718	20.3990296941055	8.91771	NA	NA	NA	TRUE	An_sntB_20h_HA_1_withCtrl_peak_6	-1005	-1160	upstream	3.10872	21.8818406089322	20.49544	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	3.5165160048008	NA	NA	NA	NA	TRUE	An_rpdA_20h_HA_1_withCtrl_peak_9	-890	-1140	upstream	3.66188	19.1553120117187	29.22025	NA	NA	NA	15.1961	TRUE	13
ChrIII_A_nidulans_FGSC_A4	60182	64500	AN12279	.	-	4318	Putative chitinase; glycoside hydrolase family 18 (GH18) protein with a predicted role in chitin hydrolysis	FALSE	FALSE	NA	TRUE	An_kdmB_20h_HA_1_withCtrl_peak_11	0	-305	overlapStart	13.08548	106.957696620754	122.18932	overlapEnd	3.40718	8.91771	TRUE	An_sntB_20h_HA_1_withCtrl_peak_7	-49	-304	upstream	5.90837	76.8490000776811	107.97544	overlapEnd	3.10872	20.49544	TRUE	An_ecoA_20h_HA_1_withCtrl_peak_3	-18	-312	upstream	8.2057	67.5670617946908	57.37417	NA	NA	NA	TRUE	An_rpdA_20h_HA_1_withCtrl_peak_12	0	-311	overlapStart	6.28665	71.4985612886854	120.71346	overlapEnd	3.66188	29.22025	5.2162	FALSE	15
ChrIII_A_nidulans_FGSC_A4	65192	67344	AN5076	.	+	2152	Has domain(s) with predicted role in cell wall macromolecule catabolic process	FALSE	FALSE	NA	TRUE	An_kdmB_20h_HA_1_withCtrl_peak_11	-101	-387	upstream	13.08548	106.957696620754	122.18932	NA	NA	NA	TRUE	An_sntB_20h_HA_1_withCtrl_peak_7	-95	-388	upstream	5.90837	76.8490000776811	107.97544	NA	NA	NA	TRUE	An_ecoA_20h_HA_1_withCtrl_peak_3	-192	-380	upstream	8.2057	67.5670617946908	57.37417	NA	NA	NA	TRUE	An_rpdA_20h_HA_1_withCtrl_peak_12	-31	-381	upstream	6.28665	71.4985612886854	120.71346	NA	NA	NA	10.6276	FALSE	15
ChrIII_A_nidulans_FGSC_A4	67435	71552	AN5075	.	-	4117	Protein of unknown function	FALSE	FALSE	NA	TRUE	An_kdmB_20h_HA_1_withCtrl_peak_12	-301	-461	upstream	2.32758	17.4661020979589	4.25918	NA	NA	NA	TRUE	An_sntB_20h_HA_1_withCtrl_peak_8	-317	-467	upstream	2.46989	16.2271955627167	11.83081	NA	NA	NA	TRUE	An_ecoA_20h_HA_1_withCtrl_peak_4	-281	-444	upstream	2.25667	20.5396814699526	3.92557	NA	NA	NA	TRUE	An_rpdA_20h_HA_1_withCtrl_peak_13	-170	-455	upstream	3.16557	21.2196983790788	24.34613	NA	NA	NA	1.3984	FALSE	15
ChrIII_A_nidulans_FGSC_A4	88537	90199	AN5069	.	-	1662	Ortholog of A. nidulans FGSC A4 : AN2683, A. fumigatus Af293 : Afu5g02860, Afu5g14320, A. niger CBS 513.88 : An09g04830, An14g05730 and A. oryzae RIB40 : AO090102000482, AO090001000197	FALSE	FALSE	NA	TRUE	An_kdmB_20h_HA_1_withCtrl_peak_13	-603	-726	upstream	2.69124	22.3280851688791	5.66414	NA	NA	NA	TRUE	An_sntB_20h_HA_1_withCtrl_peak_9	-317	-659	upstream	2.55984	18.3883298992871	13.78182	NA	NA	NA	TRUE	An_ecoA_20h_HA_1_withCtrl_peak_5	-394	-680	upstream	2.49361	22.02441681585	4.61823	NA	NA	NA	TRUE	An_rpdA_20h_HA_1_withCtrl_peak_14	-365	-720	upstream	2.12386	15.3308055109395	7.81028	NA	NA	NA	1.6502	FALSE	15
ChrIII_A_nidulans_FGSC_A4	91202	93366	AN5068	.	-	2164	Has domain(s) with predicted arylformamidase activity and role in tryptophan catabolic process to kynurenine	FALSE	FALSE	NA	TRUE	An_kdmB_20h_HA_1_withCtrl_peak_14	-106	-369	upstream	7.88471	41.9644336860792	40.18255	NA	NA	NA	TRUE	An_sntB_20h_HA_1_withCtrl_peak_11	0	-371	overlapStart	5.25837	24.610202474991	60.27639	NA	NA	NA	TRUE	An_ecoA_20h_HA_1_withCtrl_peak_6	-139	-335	upstream	4.12167	26.0534734827048	13.13358	NA	NA	NA	TRUE	An_rpdA_20h_HA_1_withCtrl_peak_16	-29	-309	upstream	4.19852	27.9948016852353	46.86839	NA	NA	NA	3.6532	FALSE	15
ChrIII_A_nidulans_FGSC_A4	94635	97094	AN5067	.	+	2459	Putative transporter of the major facilitator superfamily (MFS); expression reduced after exposure to farnesol	FALSE	FALSE	NA	TRUE	An_kdmB_20h_HA_1_withCtrl_peak_14	-35	-900	upstream	7.88471	41.9644336860792	40.18255	NA	NA	NA	TRUE	An_sntB_20h_HA_1_withCtrl_peak_11	0	-898	overlapStart	5.25837	24.610202474991	60.27639	NA	NA	NA	TRUE	An_ecoA_20h_HA_1_withCtrl_peak_6	0	-934	overlapStart	4.12167	26.0534734827048	13.13358	NA	NA	NA	TRUE	An_rpdA_20h_HA_1_withCtrl_peak_16	0	-960	overlapStart	4.19852	27.9948016852353	46.86839	NA	NA	NA	6.4789	FALSE	15
